Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.184400,0.000000,0
Solver,4.236000,0.188688,799281
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.019500,0.000000,0
Matvec,0.000000,0.000000,0
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.358100,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.133100,0.000000,0
Clustering,2.711800,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,1.804300,0.000000,0
SubsrfSim,0.016200,0.000000,0
Porosity,0.004200,0.000000,0
PhaseRelPerm,0.042700,0.000023,1
PFMG,0.000000,0.000000,0
HYPRE_Copies,0.000000,0.000000,0
NL_F_Eval,0.146500,0.000007,1
KINSol,0.155900,5.126883,799281
Total Runtime,4.458100,-nan,0
