Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.216000,0.000000,0
Solver,4.544000,0.175898,799281
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.018000,0.000000,0
Matvec,0.000000,0.000000,0
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.385600,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.154300,0.000000,0
Clustering,2.858400,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,1.995800,0.000000,0
SubsrfSim,0.016600,0.000000,0
Porosity,0.004700,0.000000,0
PhaseRelPerm,0.049100,0.000020,1
PFMG,0.000000,0.000000,0
HYPRE_Copies,0.000000,0.000000,0
NL_F_Eval,0.154500,0.000006,1
KINSol,0.162500,4.918652,799281
Total Runtime,4.794800,-nan,0
